前端字段名,后端对应字段,使用文件:行号,用途分类,对比页,基金卡片,榜单列表,详情弹窗,状态
code,code,"types/index.ts:27; types/index.ts:85; types/index.ts:178; normalize.ts:185; FundCard.vue:330/1039; FundDetailModal.vue:12; FundBasicInfo.vue:47; CompareTable.vue:200/206/220/226/292; CompareChart.vue:32/40; CompareSelector.vue:34/40; WatchList.vue:54/197; FundView.vue:193; CompareView.vue:161; WatchView.vue:39; watch.ts:54/60/259; rank.ts:54",展示显示/计算逻辑/筛选排序/透传,是,是,是,是,正常
name,name,"types/index.ts:28; types/index.ts:86; types/index.ts:179; normalize.ts:186; FundCard.vue:976; FundBasicInfo.vue:45; CompareTable.vue:200/220/244/245/271/272/294; CompareChart.vue:32/40/180; CompareSelector.vue:39; WatchList.vue:55; CompareView.vue:160/185; FundView.vue(间接); watch.ts:60/247; rank.ts:54",展示显示/透传,是,是,是,是,正常
rank,rank,"types/index.ts:29; normalize.ts:187; FundCard.vue:810/941/949; FundView.vue:202; WatchList.vue:198; WatchView.vue:80",展示显示/筛选排序,,是,是,,正常
score,score,"types/index.ts:30; normalize.ts:188; FundCard.vue:1156; watch.ts:54; CompareTable.vue:156; FundBasicInfo.vue:37; WatchView.vue:44",展示显示/计算逻辑/筛选排序,是,是,是,是,正常
tscore,tscore,"types/index.ts:31; normalize.ts:188; watch.ts:54; CompareTable.vue:156; FundBasicInfo.vue:37",计算逻辑/展示显示,是,,是,是,正常
ad_score,ad_score,"types/index.ts:32; normalize.ts:189; FundCard.vue:1084; watch.ts:54; CompareTable.vue:80/94/152; FundScoreDetail.vue:103/188; FundBasicInfo.vue:35",展示显示/计算逻辑,是,是,是,是,正常
earn_score,earn_score,"types/index.ts:33; normalize.ts:190; FundCard.vue:1120; CompareTable.vue:147; FundBasicInfo.vue:36",展示显示/计算逻辑,是,是,,是,正常
dual,dual,"types/index.ts:157; CompareTable.vue:156; FundBasicInfo.vue:37",计算逻辑/展示显示,是,,,是,正常
ms,ms,"types/index.ts:35; normalize.ts:191; FundCard.vue:482/1012",展示显示/计算逻辑,,是,是,,正常
reco,reco,"types/index.ts:37; normalize.ts:192; FundCard.vue:595/667/1021",展示显示/计算逻辑,,是,是,,正常
reco_days,reco_days,"types/index.ts:38; normalize.ts:193; FundCard.vue:613",展示显示/计算逻辑,,是,是,,正常
prev_reco,prev_reco,types/index.ts:39,类型定义,,,,正常
prev_reco_days,prev_reco_days,types/index.ts:40,类型定义,,,,正常
mdd,mdd,"types/index.ts:41; normalize.ts:17/197; FundCard.vue:1336; CompareTable.vue:65; FundScoreDetail.vue:88",展示显示/计算逻辑,是,是,是,是,正常
vol,vol,"types/index.ts:42; CompareTable.vue:69; FundScoreDetail.vue:92",展示显示,是,,,是,正常
calmar,calmar,"types/index.ts:43; CompareTable.vue:57; FundScoreDetail.vue:71; watch.ts:259; types/index.ts:265",展示显示/计算逻辑,是,,,是,正常
themes,themes,"types/index.ts:45; normalize.ts:200; FundCard.vue:1588/1624; watch.ts:119/129; FundView.vue:37; WatchView.vue(间接)",展示显示/计算逻辑,,是,是,,正常
stocks,stocks,"types/index.ts:46; watch.ts:130",透传,,,,正常
