字段名,所属层面,计算位置,存储位置,主流程使用,旧版链路使用,静态HTML使用,维度分类,删除影响评估,建议
rank,rank_full_meta,_build_item入参rank; compute_all_panels中enumerate生成,rank_snapshots.rank列 + meta JSON,是,是,是,基础信息,榜单排名核心字段，删除导致榜单无序号,保留
code,rank_full_meta,f['code'] ← funds.code,rank_snapshots.code列 + meta JSON,是,是,是,基础信息,基金唯一标识，全系统依赖,保留
name,rank_full_meta,f.get('name') ← funds.name,rank_snapshots.name列 + meta JSON,是,是,是,基础信息,基金名称展示必需,保留
tscore,rank_full_meta,_get_unified_score(f).dual 优先; 降级tscore入参/f.get('score'),meta JSON (rank_snapshots),是,是,是,评分,榜单卡片综合分展示; 自选榜/质量榜/攻防榜传入面板特定分,保留
score,rank_full_meta,_get_unified_score(f).dual 优先; 降级f.get('score') ← funds.score,meta JSON; funds.score列,是,是,是,评分,"统一算法综合分(dual), 卡片/弹窗/对比共用",保留
ad_score,rank_full_meta,_get_unified_score(f).ad_score 优先; 降级f.get('ad_score') ← funds.ad_score,meta JSON; funds.ad_score列,是,是,是,评分,"统一算法抗跌分, 全系统展示",保留
earn_score,rank_full_meta,_get_unified_score(f).earn_score 优先; 降级f.get('earn_score') ← funds.earn_score,meta JSON; funds.earn_score列,是,是,是,评分,"统一算法收益分, 全系统展示",保留
reco_score,rank_full_meta,f.get('reco_score') ← funds.reco_score (recompute_ad计算),meta JSON; funds.reco_score列,"否(rank_full不计算,仅透传)",是(build_ranks开仓榜/推荐榜),是(_reco_line fallback),评分,旧版六维推荐分; rank_full仅透传不计算; md_builder _reco_line作为tscore fallback第2顺位,需确认
tstatus,rank_full_meta,入参tstatus / f._tstatus / ranker.trend_status(m)现算,meta JSON,"是(稳涨/强趋势已移除,但trend_status仍被兜底调用)",是,是(_fund_line末尾徽章),形态,"形态分型标签(贴近高位·抗跌/连涨·强趋势等); rank_full中仅兜底计算,面板不传时现算",保留
ms,rank_full_meta,f.get('ms') ← funds.ms (recompute_ad.compute_momentum5),meta JSON; funds.ms列,是,是,是,形态,"动能5档(强劲/尚可/中性/转弱/衰竭), 卡片标签",保留
d1,rank_full_meta,metrics.d1 ← ranker.calc_metrics / _metrics_for现算; funds.d1列,meta JSON; funds.d1列,是(日榜排序键d1/d3/d7/d10),是,是,收益,"1日涨幅, 日榜排序核心+卡片展示",保留
d2,rank_full_meta,metrics.d2 ← ranker.calc_metrics / _metrics_for现算; funds.d2列,meta JSON; funds.d2列,是(日榜排序键d1/d3/d7/d10),是,是,收益,"2日累计, 日榜排序核心+卡片展示",保留
d3,rank_full_meta,metrics.d3 ← ranker.calc_metrics / _metrics_for现算; funds.d3列,meta JSON; funds.d3列,是(日榜排序键d1/d3/d7/d10),是,是,收益,"3日累计, 日榜排序核心+卡片展示",保留
d5,rank_full_meta,metrics.d5 ← ranker.calc_metrics / _metrics_for现算; funds.d5列,meta JSON; funds.d5列,是(日榜排序键d1/d3/d7/d10),是,是,收益,"5日累计, 日榜排序核心+卡片展示",保留
d7,rank_full_meta,metrics.d7 ← ranker.calc_metrics / _metrics_for现算; funds.d7列,meta JSON; funds.d7列,是(日榜排序键d1/d3/d7/d10),是,是,收益,"7日累计, 日榜排序核心+卡片展示",保留
d10,rank_full_meta,metrics.d10 ← ranker.calc_metrics / _metrics_for现算; funds.d10列,meta JSON; funds.d10列,是(日榜排序键d1/d3/d7/d10),是,是,收益,"10日累计, 日榜排序核心+卡片展示",保留
m1,rank_full_meta,metrics.m1 ← funds.m1优先(pingzhongdata权威值)或ranker._ret现算,meta JSON; funds.m1列,是(质量榜y1归一化),是,是,收益,"近1月收益, 卡片/对比/质量榜因子",保留
m3,rank_full_meta,metrics.m3 ← funds.m3优先(pingzhongdata权威值)或ranker._ret现算,meta JSON; funds.m3列,是(质量榜y1归一化),是,是,收益,"近3月收益, 卡片/对比/质量榜因子",保留
m6,rank_full_meta,metrics.m6 ← funds.m6优先(pingzhongdata权威值)或ranker._ret现算,meta JSON; funds.m6列,是(质量榜y1归一化),是,是,收益,"近6月收益, 卡片/对比/质量榜因子",保留
y1,rank_full_meta,metrics.y1 ← funds.y1优先(pingzhongdata权威值)或ranker._ret现算,meta JSON; funds.y1列,是(质量榜y1归一化),是,是,收益,"近1年收益, 卡片/对比/质量榜因子",保留
ret2m,rank_full_meta,metrics.ret2m ← ranker.calc_metrics,meta JSON,是(scoring_v3收益分输入),是,是(compare总结),收益,"近2月收益, scoring_v3 compute_earn_score核心输入",保留
dn7,rank_full_meta,metrics.dn7 ← ranker.calc_metrics,meta JSON; funds.dn7列,是,是,是(下跌N天标签),形态,"7日内下跌天数, 卡片'下跌N天'标签",保留
up7,rank_full_meta,metrics.up7 ← ranker.calc_metrics,meta JSON (rank_full透传但主流程评分不用),否(scoring_v3 dual_score不用up7),是(is_candidate稳涨形态/reco_score结构分/composite_score趋势+稳健分),否(md_builder不读up7),形态,7日内上涨天数; 仅旧版is_candidate/reco_score/composite_score使用; rank_full meta包含但scoring_v3不用; 注释明确标注'必须保留'因旧版引用,需确认
max_daily_drop_7d,rank_full_meta,metrics.max_daily_drop_7d ← ranker.calc_metrics,meta JSON; funds.max_daily_drop_7d列,是(_anti_score_simple降级兜底),是(is_candidate/composite_score支撑分),否(md_builder读dd7别名),风险,"7日内最大单日跌幅, 抗跌分降级兜底+旧版形态筛选",保留
max_daily_drop,rank_full_meta,metrics.max_daily_drop ← ranker.calc_metrics,meta JSON,是(scoring_v3 ad_score输入),是,是(compare总结),风险,"历史最大单日跌幅, scoring_v3抗跌分输入",保留
mdd,rank_full_meta,metrics.mdd ← ranker.calc_metrics,meta JSON; funds.mdd列,是(质量榜/攻防榜筛选/scoring_v3),是,是,风险,"最大回撤, 质量榜/攻防榜强抗跌筛选/scoring_v3 ad_score",保留
dd_from_hi,rank_full_meta,metrics.dd_from_hi ← ranker.calc_metrics,meta JSON; funds.dd_from_hi列,是(攻防榜/质量榜),是(别名dd20),"否(md_builder读dd20别名,不读dd_from_hi)",风险,"距历史高点回撤; 注意md_builder读旧名dd20, rank_full meta用标准名dd_from_hi → md_builder中此字段恒为None",需确认
hi_cnt,rank_full_meta,metrics.hi_cnt ← ranker.calc_metrics,meta JSON; funds.hi_cnt列,是,是,是(compare结构段),风险,"创新高次数, compare'结构'段展示",保留
vol,rank_full_meta,metrics.vol ← ranker.calc_metrics,meta JSON; funds.vol列,是,是,是,风险,"年化波动率, 卡片/对比展示",保留
down_vol,rank_full_meta,metrics.down_vol ← ranker.calc_metrics,meta JSON; funds.down_vol列,是(攻防榜强抗跌筛选/scoring_v3 ad_score),是,是,风险,"下行波动率, 攻防榜强抗跌筛选+scoring_v3 ad_score输入",保留
